,Incident ID,Year,Month,Day,Country,Region,District,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Latitude,Longitude,Details,DateTime
5,5,1997,2,14,Rwanda,Kigali,,Kigali,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting (small arms ,Individual,Unknown,-1.9508511,30.0615075,1 UN national staff shot and killed in Kigali Feb 14.,1997-02-14
7,6,1997,5,7,Sierra Leone,,,,3,0,0,0,0,0,1,2,0,3,0,0,0,0,1,2,0,3,1,0,2,Unknown,Ambush,Unknown,8.6400349,-11.8400269,1 UN national staff driver killed and 2 UN national staff wounded when UN assessment team ambushed May 7.,1997-05-07
9,12,1997,6,8,Rwanda,Northern ,Musanze ,Ruhengeri,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown, Combat (or police operations) ,Unknown,-1.49984,29.63497,1 INGO national staff killed when he was among a group of villagers attacked by insurgents near Ruhengeri on June 8.,1997-06-08
10,8,1997,6,14,Rwanda,Northern ,Musanze ,Ruhengeri,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Individual,Home ,-1.49984,29.63497,"1 UN national staff shot and killed in Ruhengeri June 14. The staffer, his wife, young child and another relative were killed at night in their home in Rubange secteur.",1997-06-14
11,9,1997,6,17,Rwanda,Northern ,Musanze ,Ruhengeri,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting (small arms ,Detention,Unknown,-1.49984,29.63497,"1 UN national staff shot and killed in Ruhengeri June 17. Arrested by soldiers on 9 June 1997. The mutilated body was found in the bush near Ruhengeri town, on 13 June and had been tortured and shot through the head.",1997-06-17
12,14,1997,6,19,Somalia,Lower Juba,Kismayo,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Unknown,-0.36667,42.53333,1 INGO driver killed by Al Ittihad militia in Kismayo on June 19.,1997-06-19
13,10,1997,6,19,Rwanda,Northern ,Musanze ,"Ruhengeri, Kigombe ",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Raid,Home ,-1.49984,29.63497,"1 UN national staff driver was shot and killed in Ruhengeri along with his wife, their son aged 7 and their daughter aged 6. They were shot through the windows of their house in Kigombe.",1997-06-19
14,13,1997,6,20,Somalia,Bay,Baidoa,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting (small arms ,Individual,Project site ,3.1199508,43.6444625,1 INGO international staffer (Portuguese) shot in Baidoa hospital apparently in revenge for shooter's brother who died in his care.,1997-06-20
19,15,1997,7,17,Bangladesh,,Narayanganj ,Siddhirganj,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Individual,Unknown,23.61352,90.50298,"1 UN natl staff shot and killed in Siddhirganj, July 17.",1997-07-17
24,22,1997,9,24,Ethiopia,Ogaden,,,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,0,1,Shooting (small arms ,Individual,Unknown,8.53056,44.795,2 UN national staffers shot dead in apparent robbery attempt in Ogaden region Sept 24.,1997-09-24
28,27,1997,10,18,Afghanistan,Balkh,Mazar-e Sharif,Mazar-e Sharif (200km W of city on Anchoy-Shibirgan road),0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms , Combat (or police operations) ,Road ,36.70904,67.11087,1 ICRC national staff killed by stray bullet when three ICRC cars caught in crossfire Anchoy-Shibirgan road 200 kilometres west of Mazar-i-Sharif on Oct 18.,1997-10-18
29,29,1997,10,23,Chechnya,,,Grozny,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,Kidnapping ,Unknown,Unknown,43.3278775,45.6762535,2 INGO international (Hungarian) staff kidnapped in Grozny on Oct 23 and held for 9 months. Severe abuse (multilations). Ransom paid by Hungarian govt.,1997-10-23
31,30,1997,11,22,Somalia,,,,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,3,Kidnapping ,Unknown,Unknown,8.3676771,49.083416,3 UN national staff (from two agencies) and 1 from another UN body abducted by gunmen on Nov 22 and released the next day. Involved a charcoal trade dispute.,1997-11-22
32,32,1997,11,26,Somalia,Deganlei ,,,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,Kidnapping ,Raid,Office,2.270978,45.334654,"2 INGO international staff (Italian) were kidnapped after 1-hour armed attack on base in Deganlei on Nov 26. Organized by Mogadishu businessman who had a trade dispute with the then Vice Governor of Balad, Mohamed Abshir.",1997-11-26
34,33,1997,12,17,Chechnya,,,,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,0,0,5,Kidnapping ,Unknown,Unknown,43.3976147,45.6985005,5 INGO international (Polish) staff kidnapped by 15 armed men on Dec 17.,1997-12-17
39,36,1998,1,29,Chechnya,North Ossetia,,,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,2,2,0,0,Kidnapping ,Unknown,Unknown,43,44.25,1 UN international (French) staff kidnapped and 1 UN national staff driver beaten at gunpoint in N. Ossetia on Jan 29.,1998-01-29
41,40,1998,3,6,Uganda,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Unknown,Unknown,1.5333554,32.2166578,1 UN national staff killed March 6.,1998-03-06
42,39,1998,3,22,Sierra Leone,Eastern  of Sierra Leone,Kailahun ,Segbwema,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms , Combat (or police operations) ,Unknown,7.9967363,-10.9495705,1 ICRC national staff member (and his son) killed during killed in an exchange of fire between ECOMOG and the AFRC/RUF near Segbwema.,1998-03-22
45,43,1998,4,15,Somalia,Banaadir,,Mogadishu,0,0,1,7,2,0,0,0,1,1,0,0,9,9,0,0,10,10,0,0,10,Kidnapping ,Ambush,Road ,2.033333,45.35,"9 internationals and 1 national working for ICRC/IFRC kidnapped as their aircraft landed in Mogadishu (5 ICRC internationals, 2 IFRC delegates, 1 national RC worker kidnapped along with 2 pilots (labelled here as ICRC)). The victims were a Somali, an American, a South African.",1998-04-15
47,46,1998,6,9,Sudan,South Kordofan,,,2,0,4,0,0,0,3,3,0,6,0,0,0,0,3,3,0,6,0,0,3,Shooting (small arms ,Ambush,Road ,11,31,2 UN national staff killed along with 1 national RC worker were killed when gunmen fired on UN vehicle in South Kordofan June 9 (3 other RC workers wounded).,1998-06-09
48,47,1998,6,25,Ethiopia,Somali,,travelling from Gode to Degeh Bur,0,0,0,6,0,0,0,0,0,0,0,0,6,6,0,0,6,6,0,0,6,Kidnapping ,Ambush,Road ,7,44,"6 ICRC international staff (1 Swiss, 5 Somali) abducted when travelling from Gode to Degeh Bur in three marked vehicles on June 25. On July 3 the Islamic group al-Ittihad al-Islami claimed responsibility, stating that the hostages were under investigation for",1998-06-25
50,49,1998,7,8,Uganda,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road ,1.5333554,32.2166578,1 UN national staff killed in ambush by guerrillas from the Uganda National Rescue Front II on July 8. Vehicle also robbed and blown up.,1998-07-08
51,53,1998,7,11,Burundi,Bubanza ,,"Bubanza, RN 9 in Gihanga commune",0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,1,0,Unknown,Ambush,Project site ,-3.11667,29.4,2 INGO national staff killed in ambush on RN 9 in Bubanza's Gihanga commune July 11.,1998-07-11
52,51,1998,7,13,Afghanistan,Nangarhar,Bihsud,Jalalabad,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,Kidnap-killing,Unknown,Unknown,34.430247,70.448678,2 UN national staff from different agencies kidnapped in or near Jalalabad on July 13 and later found dead.,1998-07-13
53,52,1998,7,24,Burundi,Bubanza ,,Bujumbura,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Unknown,Individual,Unknown,-3.3239046,29.3206183,1 UN international staffer killed in Bujumbura on July 24.,1998-07-24
59,58,1998,11,14,Angola,Bie,Kuito,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Raid,Office,-12.3830189,16.9423833,1 UN national staff shot and killed while guarding warehouse in Kuito on Nov 14.,1998-11-14
66,63,1999,1,2,Angola,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting (small arms ,Unknown,Road ,-11.8775768,17.5691241,1 UN national staff killed when MONUA chartered plane shot down Jan 2.,1999-01-02
67,68,1999,2,18,Sudan,Unity,Rubkona ,Bentiu,0,0,4,2,0,0,4,0,0,4,0,0,2,2,4,0,2,6,0,0,6,Kidnap-killing,Unknown,Unknown,9.26,29.8,"2 ICRC international (Swiss) staff and 4 national RC workers kidnapped. Swiss released in March, Sudanese killed April.",1999-02-18
72,72,1999,4,14,Angola,,,,0,5,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,5,Unknown,Ambush,Unknown,-11.8775768,17.5691241,5 INGO and NGOs national staff killed in ambush April 14.,1999-04-14
74,75,1999,5,15,Chechnya,Kabardino-Balkaria,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,Kidnapping ,Unknown,Unknown,43.4428286,43.4204809,1 ICRC international staff kidnapped in Kabardino-Balkaria May 15. Released July 19.,1999-05-15
79,80,1999,7,24,Burundi,Bubanza ,,Bujumbura,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,-3.3239046,29.3206183,1 UN international (Italian) staff killed in Bujumbura July 24.,1999-07-24
81,81,1999,8,4,Sierra Leone,,,,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,Kidnapping ,Unknown,Unknown,8.6400349,-11.8400269,2 UN international staff among 33 from UN group kidnapped by AFRC faction Aug 4 and released Aug 11.,1999-08-04
82,83,1999,8,11,Liberia,,Kolahun,Kolahun,0,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,6,0,0,6,Kidnapping ,Unknown,Unknown,8.28694,-10.08444,"6 INGO international (4 British, 1 Norwegian, 1 Italian) staff kidnapped in Kolahun Aug 11. Released unharmed 2 days later.",1999-08-11
83,86,1999,9,14,Somalia,Gedo,,Garbaharey,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown, Combat (or police operations) ,Unknown,3.325005,42.2205319,1 INGO national staff killed in attack in Somalia Sept 14. Victim was among 10 people killed when rival factions fought for the control of the southern town Garbaharey.,1999-09-14
84,84,1999,9,15,Somalia,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Ambush,Road ,8.3676771,49.083416,1 UN national staff killed in road shooting Sept 15-16.,1999-09-15
85,85,1999,9,16,Angola,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Ambush,Road ,-11.8775768,17.5691241,1 UN national staf killed when convoy attacked Sept 16.,1999-09-16
89,89,1999,10,7,Tajikistan,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,Unknown,Individual,Unknown,38.6281733,70.8156541,1 INGO international staffer killed Oct 7.,1999-10-07
92,92,1999,11,10,Colombia,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,Kidnapping ,Unknown,Unknown,2.8930783,-73.7845072,1 ICRC international (British) staff kidnapped Nov 10 and released unharmed Nov 14.,1999-11-10
99,97,2000,1,8,Sudan,Al Wahdah,,,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,Unknown,Ambush,Unknown,8.927721,29.788925,2 INGO national staff killed in ambush in Al Wahdah State on Jan 8.,2000-01-08
100,95,2000,1,10,Mozambique,,,Maputo,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Individual,Unknown,-25.9662133,32.5674498,1 UN national staff shot and killed in Maputo on Jan 10.,2000-01-10
101,99,2000,1,28,Somalia,,,,0,5,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,5,0,0,Unknown,Ambush,Unknown,8.3676771,49.083416,5 INGO national staff killed in attack on aid convoy on Jan 28.,2000-01-28
103,104,2000,2,22,Kenya,,Nairobi,Nairobi,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting (small arms ,Individual,Unknown,-1.256975,36.803277,"1 IFI international (Netherlands) staff shot and killed in Nairobi, Feb 22.",2000-02-22
105,105,2000,3,4,Rwanda,Kigali,,Kigali,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting (small arms ,Ambush,Unknown,-1.9508511,30.0615075,"1 UN international (Liberian) staff shot and killed by unknown assailant while sitting in their car in Kigali, March 4.",2000-03-04
106,106,2000,3,8,Kosovo,,Pristina,Pristina,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting (small arms ,Unknown,Unknown,42.6371194,21.1300415,1 UN national staff shot and killed in Pristina March 8.,2000-03-08
108,108,2000,4,4,DR Congo,South Kivu,,Uvira,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Ambush,Unknown,-3.4055866,29.1375509,"1 INGO national staff shot and killed in Uvira, April 4.",2000-04-04
109,110,2000,4,15,Somalia,,,Barawa-Merca Road,0,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2,0,0,2,Unknown,Ambush,Unknown,1.8427539,44.5937239,1 INGO national staff killed and 1 wounded in ambush in Brava-Merka Roa on April 15.,2000-04-15
113,114,2000,5,3,Somalia,Banaadir,,Mogadishu,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting (small arms ,Individual,Unknown,2.033333,45.35,"1 INGO national staff shot and killed in Mogadishu, May 3.",2000-05-03
116,115,2000,6,10,Angola,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Unknown,Unknown,-11.8775768,17.5691241,"1 UN national staff killed in Angola, June 10.",2000-06-10
119,119,2000,7,9,DR Congo,,,,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,2,1,0,1,Unknown,Ambush,Unknown,-2.9814344,23.8222636,1 INGO national and 1 international (Kenyan) wounded along with 3 other health workers (not counted here) in July 9 ambush that killed local health center director (also not counted here).,2000-07-09
120,120,2000,7,27,Colombia,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,Kidnapping ,Unknown,Unknown,2.8930783,-73.7845072,"1 INGO international (French)staff kidnapped, July 27.",2000-07-27
124,125,2000,8,27,Indonesia,South Aceh,,,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,3,Unknown,Detention,Custody (official forces,4.14717685,96.13821685,"3 INGO national staff working in South Aceh were hospitalised after being tortured by Brimob officers, Aug 27.",2000-08-27
127,126,2000,9,6,Indonesia,,,,3,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,3,Unknown,Raid,Unknown,-6.21195,106.845056,3 UN internationals killed by mob in W. Timor.,2000-09-06
133,134,2000,12,9,Indonesia,,,,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,Unknown,Detention,Custody (official forces,-6.21195,106.845056,3 NGO national staff executed by police Dec 9.,2000-12-09
134,132,2000,12,20,Sudan,,,,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,Unknown,Ambush,Road ,14.5844444,29.4917691,"2 national staff, one from an INGO and one from a national NGO, killed in ambush on Dec 20.",2000-12-20
136,137,2001,1,9,Chechnya,,,,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,2,1,0,1,Kidnapping ,Ambush,Road ,43.3976147,45.6985005,"1 INGO international staff kidnapped, Jan 9 and released Feb 4. 1 INGO international staff of another organization wounded when the kidnappers fired on convoy.",2001-01-09
137,142,2001,2,26,DR Congo,Bunia ,(near area of Bunia),,0,0,0,6,0,0,4,0,0,4,2,0,0,2,6,0,0,6,0,0,6,Unknown,Ambush,Road ,1.5625,30.2484167,"2 ICRC international (Swiss, Colombian) and 4 national staff ambushed and killed near Bunia, Feb 26.",2001-02-26
139,140,2001,3,8,Sudan,,,,0,4,0,0,0,0,0,0,2,2,0,0,2,2,0,0,4,4,0,0,4,Kidnapping ,Raid,Project site ,14.5844444,29.4917691,"2 INGO international (Kenyan) and 2 national staff kidnapped when armed rebels attacked village, March 8.",2001-03-08
140,138,2001,3,27,DR Congo,Bas-Congo,,Kimpese,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Ambush,Road ,-5.78156,12.63389,"1 UN national staff shot and killed by gunmen in ambush and stole victim's vehicle in Kimpese, March 27.",2001-03-27
142,141,2001,4,3,Burundi,,,,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,Unknown,Ambush,Road ,-3.3634357,29.8870575,"4 UN national staff wounded when UN vehicles attacked, April 3.",2001-04-03
143,144,2001,4,18,Chechnya,,,,0,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2,2,0,0,Shooting (small arms ,Ambush,Road ,64.6863136,97.7453061,1 NGO national staff killed and 1 national staff wounded after being shot in a car and later died.,2001-04-18
146,145,2001,5,8,Madagascar,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Unknown,Unknown,-18.9249604,46.4416422,"1 UN national staff shot and killed, May 8",2001-05-08
147,148,2001,5,11,Burundi,,,,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,0,0,6,Kidnapping ,Unknown,Project site ,-3.3634357,29.8870575,"6 INGO national staff kidnapped when operating mobile clinic, May 11, later released unharmed.",2001-05-11
152,152,2001,7,5,Central African Republic,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Unknown,Unknown,Unknown,4.361697,18.555978,"1 UN international (French) staff killed in C.A.R., July 5.",2001-07-05
153,151,2001,7,5,Angola,Huambo (near),,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road ,-12.7765392,15.7320468,"1 UN national staff killed in convoy ambush near Huambo, July 5.",2001-07-05
154,155,2001,7,14,Somalia,Banaadir,,Mogadishu (near),8,0,0,0,0,0,6,2,0,8,0,0,0,0,6,2,0,8,0,0,8,Shooting (small arms ,Ambush,Road ,2.03711,45.34375,"2 UN national staff wounded and 6 killed when UN relief convoy ambushed by militiamen loyal to warlord Osman Atto near Mogadishu, July 14.",2001-07-14
159,160,2001,10,3,Indonesia,Aceh,,Bireuen ,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Individual,Project site ,5.2022128,96.7023788,1 IFRC national staff killed with signs of torture in Aceh.,2001-10-03
168,167,2002,1,25,DR Congo,Maniema,,Kindu-Kalima road,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,3,Kidnapping ,Ambush,Road ,-2.91667,25.91667,3 INGO national staff kidnapped when vehicle ambushed on Kindu-Kalima road on Jan 25- later released.,2002-01-25
174,171,2002,2,23,Somalia,Lower Shebelle ,Merca,Merca,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,Shooting (small arms ,Individual,Home ,1.79767,44.90755,"One INGO international (Swiss) shot and killed in residence in Merca, Feb 23. Related to employment dispute.",2002-02-23
176,174,2002,3,7,Occupied Palestinian Territories,West Bank,,Tulkarem,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Unknown,Unknown,32.31037,35.02863,"1 UN national staff shot and killed in Tulkarem, West Bank, March 7.",2002-03-07
181,179,2002,4,8,Iraq,Baghdad,,Baghdad,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Unknown,Unknown,33.3024248,44.3787992,"1 UN national staff shot and killed in Baghdad, April 8.",2002-04-08
196,195,2002,10,21,Sudan,,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Kidnapping ,Unknown,Unknown,14.5844444,29.4917691,"1 INGO staff member held and beaten by SPLA, Oct 21.",2002-10-21
203,199,2002,11,13,Chechnya,,,,0,0,0,4,0,0,0,0,2,2,0,0,2,2,0,0,4,4,2,0,2,Kidnapping ,Unknown,Unknown,43.3976147,45.6985005,"2 ICRC international staff and 2 ICRC national kidnapped Nov 13, released Nov 17.",2002-11-13
204,205,2002,11,19,DR Congo,,,,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Kidnapping ,Unknown,Unknown,-2.9814344,23.8222636,"1 INGO national staff kidnapped Nov 19, released a day later.",2002-11-19
205,198,2002,11,22,Occupied Palestinian Territories,West Bank,,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting (small arms , Combat (or police operations) ,Project site ,32.0254688,35.2888075,"1 UN international staff shot and killed at the Jenin refugee camp by Israeli army gunfire, Nov 22.",2002-11-22
206,204,2002,11,24,Afghanistan,Balkh,Chahar Bolak,Charbolak,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,36.83763,66.63932,"1 INGO international (Japanese) staff killed in Chaharbolak district of Balkh, reported Nov 24, no other details.",2002-11-24
208,208,2002,12,4,Congo,Bouenza,,,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,2,Kidnapping ,Unknown,Unknown,-4.1121517,13.51292867,1 ICRC international staff and 1 national staff kidnapped by members of Ninja group in the Bouenza region on Dec 4 and released Dec 29.,2002-12-04
209,207,2002,12,6,Occupied Palestinian Territories,Gaza Strip,,"Bureij Camp, east of the Salah al-Din Road",2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,Unknown, Combat (or police operations) ,Project site ,31.4772871,34.3215106,"2 UN national staff in Bureij Camp, Gaza Strip by IDF operations .",2002-12-06
217,216,2003,2,11,Kenya,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Unknown,Unknown,Unknown,1.4419683,38.4313975,"1 INGO 1nternational staff killed, Feb 11.",2003-02-11
220,223,2003,3,9,Liberia,,,,0,3,0,0,0,0,2,0,0,2,1,0,0,1,3,0,0,3,1,0,2,Unknown,Ambush,Road ,5.7499721,-9.3658524,"2 INGO national staff and 1 international killed on road, March 9.",2003-03-09
221,220,2003,3,10,Sudan,Darfur,,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Bodily,Ambush,Road ,11.329444,25.08565623,"1 UN national staff beaten with rifle butt and kicked when the agency's and an INGO's vehicles ambushed in Darfur, March 10.",2003-03-10
222,224,2003,3,13,DR Congo,Orientale,Ituri,Badiya ,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Kidnapping ,Unknown,Unknown,1.66607,27.00836,"1 INGO national staff member kidnapped in Badiya, Ituri, along with 3 civilians on March 13 and released 4 days later.",2003-03-13
223,221,2003,3,27,Afghanistan,Kandahar ,Kandahar,,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting (small arms ,Ambush,Road ,31.6257334,65.7145053,"1 ICRC international (Swiss and El Salvador) staff shot and killed in ambush north of Kandahar City, March 27.",2003-03-27
226,225,2003,4,8,Iraq,Baghdad,,Baghdad,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting (small arms , Combat (or police operations) ,Unknown,33.3024248,44.3787992,1 ICRC international staff killed during crossfire in Baghdad on April 8.,2003-04-08
227,228,2003,4,20,South Africa,Gauteng,Tshwane,Pretoria,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting (small arms ,Ambush,Road ,-25.74486,28.18783,"1 INGO national staff wounded when vehicle carjacked in Pretoria, 20 April. Victim escaped under fire.",2003-04-20
231,231,2003,5,3,Afghanistan,Vardak,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,34.3707276,68.3288601,"1 INGO national staff killed in Wardak, May 3.",2003-05-03
232,229,2003,5,11,DR Congo,,,,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,Unknown,Unknown,Unknown,-2.9814344,23.8222636,2 RC national staff killed May 11.,2003-05-11
234,234,2003,6,6,DR Congo,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting (small arms ,Individual,Unknown,-2.9814344,23.8222636,"1 UN national staff killed by gunshot, June 6.",2003-06-06
241,236,2003,7,15,Iraq,,,,2,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2,1,0,1,Unknown,Ambush,Road ,33.0955793,44.1749775,"1 UN national staff killed and 1 national staff member wounded when convoy attacked, July 15.",2003-07-15
242,241,2003,7,22,Afghanistan,Farah,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,32.607111,62.671011,"1 INGO national staff killed in Farah, Afghanistan, July 22.",2003-07-22
245,251,2003,8,7,DR Congo,South Kivu,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Unknown,Unknown,-3.2850762,28.18012996,"1 INGO national staff killed in South Kivu, Aug 7.",2003-08-07
246,250,2003,8,7,Afghanistan,Helmand,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Unknown,31.341322,63.993456,"1 INGO national staff killed in ambush in Helmand, Aug 7.",2003-08-07
247,249,2003,8,10,Eritrea,,,Adobha (near),0,3,0,0,0,0,2,1,0,3,0,0,0,0,2,1,0,3,1,0,2,Shooting (small arms ,Ambush,Unknown,15.9500319,37.9999668,"2 INGO national staff killed and 1 national wounded in ambush when assailants opened fire on the vehicle near Adobha, Aug 10.",2003-08-10
248,247,2003,8,13,Afghanistan,Ghazni,,,0,0,6,0,0,0,2,4,0,6,0,0,0,0,2,4,0,6,0,0,6,Unknown,Ambush,Unknown,33.5448968,68.4132108,"2 RC national staff killed, 4 national staff wounded when ambushed in Ghazni, Aug 13.",2003-08-13
249,244,2003,8,19,Iraq,Baghdad,,Baghdad,19,1,0,0,0,0,8,0,0,8,12,0,0,12,20,0,0,20,13,7,0,VBIED-S ,Individual,Office,33.3024248,44.3787992,"19 UN (11 internationals, 8 nationals) staff killed and 1 NGO staff killed in Canal Hotel bombing.",2003-08-19
250,245,2003,8,27,Iraq,Kurdistan,,Erbil,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Shooting (small arms ,Individual,Unknown,36.22675,44.76106,"1 UN national staff wounded by small arms fire in Erbil, Aug 27.",2003-08-27
