,Incident ID,Year,Month,Day,Country,Region,District,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Latitude,Longitude,Details,DateTime
590,563,2007,8,20,Sri Lanka,Northern ,Jaffna ,Jaffna Kasthooriar Road,0,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2,2,0,0,Shooting (small arms ,Ambush,Road ,9.6669,80.0181,"1 INGO national staff killed and 1 national staff injured by unidentified gunmen on motorcycles in Jaffna, as they traveled to work. The group, which has 300 staff in Jaffna, had suspended its work on the peninsula to determine how to improve staff security.",2007-08-20
591,701,2007,8,27,Sudan,,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Individual,Unknown,14.5844444,29.4917691,One INGO national staff (locally trained nurse) was killed by drunken soldier in dispute over nurse's cattle. The INGO claims the incident was not aid or organization-related.,2007-08-27
593,732,2007,9,6,Afghanistan,Kandahar,,,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Raid,Home ,31.6257334,65.7145053,1 NGO national staff killed when two armed men entered the victim's home.,2007-09-06
594,564,2007,9,11,Somalia,Galguduud,Abudwak,Abudwak,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,Shooting (small arms ,Individual,Unknown,5,47,"One UN national staff shot and killed by unidentified clan gunmen Tuesday afternoon in Abudwak, a town in the central Somali region of Galgadud. The victim was targeted for clan-related reasons, reliable sources in Abudwak said.",2007-09-11
595,565,2007,9,12,Afghanistan,Badakhshan,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting (small arms ,Ambush,Road ,36.734772,70.811995,"1 INGO international (Bangladeshi) staff who was working for an agency providing small financial support for locals was shot dead by two unknown gunmen while he was traveling in on a motorbike northeastern Badakhshan province on Wednesday afternoon. Some locals said another Bengalese was injured, but the police did not confirm (not included). No one has claimed responsibility, and the motivation for the attack was not immediately known. But the police said one suspect was arrested. Local officials blamed the killing on highway robbers.",2007-09-12
596,566,2007,9,16,Afghanistan,Lowgar,,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,Kidnapping ,Individual,Office,34,69.25,1 INGO international (Bangladeshi) staff kidnapped by six unknown men who entered the office and forcefully took him away in Logar province on Saturday; released December 8. Police arrested two (other report says three) men who said they were involved and were robbers but police said they had not stolen anything and may have been linked to a militant group.,2007-09-16
597,733,2007,9,19,Afghanistan,Vardak,,,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,Unknown,Unknown,Unknown,34.3707276,68.3288601,2 NGO national staff (a doctor & his driver) were found dead in Chack District.,2007-09-19
598,567,2007,9,20,Somalia,Banaadir,Hawil-wadag,"Mogadishu, Bakara market ",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Unknown,Ambush,Other public location ,2.11667,45.4,1 national RC driver seriously injured when three gunmen armed with pistols carjacked a vehicle at Bakara market in Hawil-wadag district in Mogadishu.,2007-09-20
599,570,2007,9,25,Iraq,Basra,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Kidnap-killing,Unknown,Unknown,30.4952367,47.8090981,"1 INGO national staff of UN agency partner organization staff kidnapped and killed by armed militia members on Tuesday. The victim's body and that of a friend (not included here) were later located at a morgue. Initial reports indicate that the murder was an act of militia retaliation against sectarian minorities in southern Iraq, and not deliberate targeting of humanitarian workers.",2007-09-25
600,569,2007,9,26,Afghanistan,Vardak,,,0,0,0,4,0,0,0,0,2,2,0,0,2,2,0,0,4,4,0,0,4,Kidnapping ,Unknown,Unknown,34.3707276,68.3288601,"2 ICRC national staff and 2 international (1 Burmese, 1 Macedonian) kidnapped Wednesday in central Wardak province by Taliban militians; released Saturday. They were ""Our mujahideen detained the Red Cross workers in Wardak province without knowing they were ICRC staff,"" said a Taliban spokesman who declined to be named. ""We have nothing against the Red Cross and we are going to release them soon.""",2007-09-26
